Expression	Value	Location	Type	
adcBuffer	<array>	0x20004734	uint16_t[16]	
arrays	Error (col 1): Unknown or ambiguous symbol. arrays			
LLD	400	0x20000008	uint16_t	
comp_count	Error (col 1): Unknown or ambiguous symbol. comp_count			
counter_buff	Error (col 1): Unknown or ambiguous symbol. counter_buff			
compResults	Error (col 1): Unknown or ambiguous symbol. compResults			
spectrearray	<array>	0x20000410	uint32_t[4096]	
[0]	540	0x20000410	uint32_t	
[1]	0	0x20000414	uint32_t	
[2]	0	0x20000418	uint32_t	
[3]	0	0x2000041C	uint32_t	
[4]	0	0x20000420	uint32_t	
[5]	0	0x20000424	uint32_t	
[6]	0	0x20000428	uint32_t	
[7]	0	0x2000042C	uint32_t	
[8]	0	0x20000430	uint32_t	
[9]	0	0x20000434	uint32_t	
[10]	0	0x20000438	uint32_t	
[11]	0	0x2000043C	uint32_t	
[12]	0	0x20000440	uint32_t	
[13]	0	0x20000444	uint32_t	
[14]	2	0x20000448	uint32_t	
[15]	1	0x2000044C	uint32_t	
[16]	3	0x20000450	uint32_t	
[17]	9	0x20000454	uint32_t	
[18]	9	0x20000458	uint32_t	
[19]	17	0x2000045C	uint32_t	
[20]	33	0x20000460	uint32_t	
[21]	46	0x20000464	uint32_t	
[22]	71	0x20000468	uint32_t	
[23]	99	0x2000046C	uint32_t	
[24]	169	0x20000470	uint32_t	
[25]	184	0x20000474	uint32_t	
[26]	259	0x20000478	uint32_t	
[27]	379	0x2000047C	uint32_t	
[28]	454	0x20000480	uint32_t	
[29]	575	0x20000484	uint32_t	
[30]	762	0x20000488	uint32_t	
[31]	888	0x2000048C	uint32_t	
[32]	1039	0x20000490	uint32_t	
[33]	1197	0x20000494	uint32_t	
[34]	1358	0x20000498	uint32_t	
[35]	1513	0x2000049C	uint32_t	
[36]	1733	0x200004A0	uint32_t	
[37]	1772	0x200004A4	uint32_t	
[38]	1958	0x200004A8	uint32_t	
[39]	2008	0x200004AC	uint32_t	
[40]	2128	0x200004B0	uint32_t	
[41]	2229	0x200004B4	uint32_t	
[42]	2248	0x200004B8	uint32_t	
[43]	2208	0x200004BC	uint32_t	
[44]	2294	0x200004C0	uint32_t	
[45]	2261	0x200004C4	uint32_t	
[46]	2167	0x200004C8	uint32_t	
